deal_id,status,email_dominio,fonte_rd,utm_source_rd,tem_fbclid,tem_gclid,meetime,meetime_desde,classe
458929,open,gmail.com,direto,direto,0,0,s,2026-07-07T12:52:21.881Z,recuperado_rd_direto
458940,lost,hotmail.com,,,0,0,n,,escuro
459017,won,gmail.com,,,0,0,n,,escuro
459045,lost,hotmail.com,chatgpt_com,chatgpt.com,0,0,s,2026-06-24T16:11:51.820Z,recuperado_rd_chatgpt_com
459056,lost,gmail.com,direto,direto,0,0,s,2024-09-01T17:45:01.346Z,recuperado_rd_direto
459061,open,outlook.com,direto,direto,0,0,s,2026-07-07T19:24:07.502Z,recuperado_rd_direto
459140,won,gmail.com,google,www.google.com,0,0,s,2026-07-07T14:36:36.658Z,recuperado_rd_google
459157,won,gmail.com,google,www.google.com,0,0,s,2026-07-05T18:07:41.439Z,recuperado_rd_google
459202,won,gmail.com,,,0,0,n,,escuro
459213,won,cardapioweb.com,,,0,0,n,,escuro
459223,open,gmail.com,direto,direto,0,0,s,2024-09-01T17:45:01.346Z,recuperado_rd_direto
459271,won,gmail.com,direto,direto,0,0,s,2025-03-24T21:31:41.371Z,recuperado_rd_direto
459272,won,gmail.com,direto,direto,0,0,s,2026-07-08T16:55:11.200Z,recuperado_rd_direto
459312,won,INVALIDO,,,0,0,n,,sem_email
459361,won,hotmail.com,direto,direto,0,0,s,2024-02-28T19:08:55.527Z,recuperado_rd_direto
459367,won,gmail.com,,,0,0,n,,escuro
459376,lost,icloud.com,outros,,0,0,s,2026-06-25T14:30:16.888Z,recuperado_rd_outros
459428,lost,gmail.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-09T14:39:27.383Z,recuperado_rd_cardapioweb_com
459430,open,gmail.com,direto,direto,0,0,s,2026-07-07T00:30:19.548Z,recuperado_rd_direto
459438,open,INVALIDO,,,0,0,n,,sem_email
459439,won,gmail.com,google,google,0,1,s,2026-03-31T12:27:43.348Z,recuperado_rd_google
459448,won,gmail.com,google,www.google.com,0,0,s,2026-07-09T16:25:21.389Z,recuperado_rd_google
